Unnamed: 0,text
139,Looking forward to being on @seanhannity tonight hosted by @peteHegseth3 at 9:10pm with @danielhoffmanDC discussing #Ukraine and the ongoing #Russia invasion.
141,"Ukrainian Forces using Thermal to destroy Russian troops and doing a damn good job at it...
#StandWithUkraine 
#Ukraine 
#UkraineWar 
#UkraineRussiaWar https://t.co/pOT3D0QSa1"
144,"TOP NEWS: #UkraineRussianWar 
Ukraineâs president urges European Union that - #EU should include #Ukraine as a member of European union asap. https://t.co/7DatRSv1eC"
147,"Bloody money: how #Nestle and #LeroyMerlin support killing Ukrainians
 
#StopRussia #StopPutin #StopSupportTerrorists #CancelRussia #CancelLeroyMerlin #NestleGetOutOfRussia https://t.co/rObbtYNce6"
148,"As NATO flexes, does Putin get reason to escalate? Will second month see worse destruction or tense calm?
@gauravcsawant tells you about the ground situation.

#Newstrack #Russia #Ukraine #RussiaUkraineWar @ShivAroor https://t.co/v7p4rgoDdf"
149,"On Thursday, NATO held a summit without precedent. In total secrecy, with cameras, phones and aides prohibited, the leaders of the Western powers met to plan out the unthinkable: A full-scale war between nuclear-armed states. #Ukraine #Russia #WW3  https://t.co/X2nFEv9qNS"
150,"@josemvmarques @TweetBlakemore @SkyNews What you mean Trump knew #Russia was going to invade #Ukraine? He didnât tell the rest of the world. He should be Prosecuted, and stripped of title âMr Presidentâ."
153,Our Europe Regional Director filled every available space on the plane with food supplies for Ukrainian fighters on the front lines. The 1st shipment of assistance has already been delivered &amp; is currently being used by brave Ukrainians defending their country. #StopRussia https://t.co/7O5weO14Uy
158,#Indonesia announced that it will not ban Russia from the upcoming #G20 summit in Bali as requested by several Western nations. Read how the majority of Southeast Asia tries to balance amid the #West's dispute with #Russia over its invasion of #Ukraine: https://t.co/JnIU9Tk4qs
166,"âï¸A NEW VIDEO BY ANONYMOUS

Yesterday they hacked central bank of russia
 https://t.co/EWesGgcReZ

#RussianUkrainianWar #Anonymous 
#CyberAttack  #Russian 
#Rubles #UkraineRussiaWar #Ukraine"
169,#Kingston #Ahmadiyya Muslim community at #Westminster #STOPWW3 campaign. With nuclear weapons no one is safe. #RussianUkrainianWar #CaliphOfIslam https://t.co/JCYbFTbocj
176,"#Qatar's Energy Minister Kaabi:
""It's always nice to be wanted. Everyone in Europe is talking to us.. [but] replacing #Russia/n gas supply to #Europe is not practically possible just yet.. [our] current gas capacity won't satisfy European demand""
https://t.co/4AEvcH8t6l"
178,"Meanwhile, it seems that the assault on the #Kharkiv region in #Ukraine continues.

So is #RussiaUkraineWar https://t.co/5RGgm1XMzN"
180,#Russia conducting #drills on islands contested by #Japan https://t.co/Zq6xyCWiUv
181,#Biden labels #Putin a â#butcherâ after meeting Ukrainian refugees. https://t.co/bb4tyxs5cV #Russia-#Ukraine #invasion
